X, Y, Z, Theta, Phi, Length_mm, Rec_length_mm
-0.0008965,-0.008997,-0.0017065,20,0,2.9247,2.6247
-0.0003965,-0.008997,-0.0021445,10,0,3.1828,2.8828
-0.0003965,-0.008997,-0.0021445,20,0,3.4731,3.1731
-0.0018965,-0.008497,-0.0014247,20,0,2.9355,2.6355
-0.0013965,-0.008497,-0.0024211,10,0,3.8172,3.5172
-0.0013965,-0.008497,-0.0024211,20,0,3.7742,3.4742
-0.0008965,-0.008497,-0.0029124,10,0,4.1398,3.8
-0.0008965,-0.008497,-0.0029124,20,0,4.4731,3.8
-0.0003965,-0.008497,-0.0032635,10,0,4.5806,3.8
-0.0003965,-0.008497,-0.0032635,20,0,4.8065,3.8
-0.0023965,-0.007997,-0.0028417,10,0,4.2043,3.8
-0.0023965,-0.007997,-0.0028417,20,0,4.4946,3.8
-0.0018965,-0.007997,-0.0031189,10,0,4.5699,3.8
-0.0018965,-0.007997,-0.0031189,20,0,4.8387,3.8
-0.0013965,-0.007997,-0.0033335,10,0,4.871,3.8
-0.0013965,-0.007997,-0.0033335,20,0,5.1075,3.8
-0.0008965,-0.007997,-0.0036345,10,0,5.0968,3.8
-0.0008965,-0.007997,-0.0036345,20,0,5.4301,3.8
-0.0003965,-0.007997,-0.0037628,10,0,5.3118,3.8
-0.0003965,-0.007997,-0.0037628,20,0,5.3871,3.8
-0.0033965,-0.007497,-0.0028665,10,0,3.3118,3.0118
-0.0033965,-0.007497,-0.0028665,20,0,4.2903,3.8
-0.0028965,-0.007497,-0.0033214,10,0,4.4301,3.8
-0.0028965,-0.007497,-0.0033214,20,0,5.0538,3.8
-0.0023965,-0.007497,-0.0035755,10,0,4.9462,3.8
-0.0023965,-0.007497,-0.0035755,20,0,5.4086,3.8
-0.0018965,-0.007497,-0.0036504,10,0,5.1935,3.8
-0.0018965,-0.007497,-0.0036504,20,0,5.4409,3.8
-0.0013965,-0.007497,-0.0037485,10,0,5.3011,3.8
-0.0013965,-0.007497,-0.0037485,20,0,5.5484,3.8
-0.0008965,-0.007497,-0.0040153,10,0,5.5699,3.8
-0.0008965,-0.007497,-0.0040153,20,0,5.7849,3.8
-0.0003965,-0.007497,-0.0040915,10,0,5.6452,3.8
-0.0003965,-0.007497,-0.0040915,20,0,5.6882,3.8
-0.0033965,-0.006997,-0.0033115,20,0,4.7634,3.8
-0.0028965,-0.006997,-0.0036498,10,0,4.7634,3.8
-0.0028965,-0.006997,-0.0036498,20,0,5.3978,3.8
-0.0023965,-0.006997,-0.0039345,10,0,5.2688,3.8
-0.0023965,-0.006997,-0.0039345,20,0,5.8387,3.8
-0.0018965,-0.006997,-0.0039588,10,0,5.5054,3.8
-0.0018965,-0.006997,-0.0039588,20,0,5.8602,3.8
-0.0013965,-0.006997,-0.0041071,10,0,5.7527,3.8
-0.0013965,-0.006997,-0.0041071,20,0,5.9355,3.8
-0.0008965,-0.006997,-0.0043215,10,0,5.9677,3.8
-0.0008965,-0.006997,-0.0043215,20,0,6.0215,3.8
-0.0003965,-0.006997,-0.0043852,10,0,5.9462,3.8
-0.0003965,-0.006997,-0.0043852,20,0,5.957,3.8
-0.0038965,-0.006497,-0.0029405,10,0,4.129,3.8
-0.0038965,-0.006497,-0.0029405,20,0,3.6882,3.3882
-0.0033965,-0.006497,-0.0034405,10,0,3.9785,3.6785
-0.0033965,-0.006497,-0.0034405,20,0,4.9462,3.8
-0.0028965,-0.006497,-0.0038545,10,0,5.0538,3.8
-0.0028965,-0.006497,-0.0038545,20,0,5.6129,3.8
-0.0023965,-0.006497,-0.0040196,10,0,5.3978,3.8
-0.0023965,-0.006497,-0.0040196,20,0,5.8817,3.8
-0.0018965,-0.006497,-0.0042915,10,0,5.8495,3.8
-0.0018965,-0.006497,-0.0042915,20,0,6.2151,3.8
-0.0013965,-0.006497,-0.0043606,10,0,5.957,3.8
-0.0013965,-0.006497,-0.0043606,20,0,6.2043,3.8
-0.0008965,-0.006497,-0.0045619,10,0,6.2043,3.8
-0.0008965,-0.006497,-0.0045619,20,0,6.2796,3.8
-0.0003965,-0.006497,-0.0046615,10,0,6.2258,3.8
