Franklin-Paxinos Full name,Franklin-Paxinos abbreviation,Structural ID,structure Order,red,green,blue,Parent ID,Parent abbreviation,Allen Full name,Allen abbreviation,,,
Basic cell groups and regions,grey,8,100,176,255,255,997,root,Basic cell groups and regions,grey,,,
Cerebrum,CH,567,200,176,240,255,8,grey,Cerebrum,CH,,,
Cerebral cortex,CTX,688,300,176,255,184,567,CH,Cerebral cortex,CTX,,,
Cortical plate,CTXpl,695,400,112,255,112,688,CTX,Cortical plate,CTXpl,,,
Isocortex,Isocortex,315,500,112,255,113,695,CTXpl,Isocortex,Isocortex,,,
Frontal association cortex,FrA,184,600,112,255,113,315,Isocortex,"Frontal pole, cerebral cortex",FRP,,,
"Frontal pole, layer 1",FrA-1,68,700,121,161,59,184,FrA,"Frontal pole, layer 1",FRP1,,,
"Frontal pole, layer 2/3",FrA-2/3,667,800,132,165,74,184,FrA,"Frontal pole, layer 2/3",FRP2/3,,,
"Frontal pole, layer 5",FrA-5,2325,810,132,165,74,184,FrA,,,,,
motor cortex,M,500,900,112,255,116,315,Isocortex,Somatomotor areas,MO,,,
Primary motor cortex,M1,985,500,112,255,116,500,M,Primary motor area,MOp,,,
Primary motor cortex Layer 1,M1-1,320,985,45,161,79,985,M1,"Primary motor area, Layer 1",MOp1,,,
Primary motor cortex Layer 2/3,M1-2/3,943,985,73,166,99,985,M1,"Primary motor area, Layer 2/3",MOp2/3,,,
Primary motor cortex Layer 5,M1-5,648,985,94,172,111,985,M1,"Primary motor area, Layer 5",MOp5,,,
Primary motor cortex Layer 6a,M1-6a,844,985,120,188,130,985,M1,"Primary motor area, Layer 6a",MOp6a,,,
Primary motor cortex Layer 6b,M1-6b,882,985,143,196,143,985,M1,"Primary motor area, Layer 6b",MOp6b,,,
"Frontal cortex, area 3",FrC3,2017,2010,132,165,74,985,M1,,,,,
"Frontal cortex, area 3, layer1",FrC3-1,2334,2020,132,165,74,2017,FrC3,,,,,
"Frontal cortex, area 3, layer2/3",FrC3-2/3,2335,2020,132,165,74,2017,FrC3,,,,,
"Frontal cortex, area 3, layer5",FrC3-5,2336,2040,132,165,74,2017,FrC3,,,,,
"Frontal cortex, area 3, layer6a",FrC3-6a,2337,2050,132,165,74,2017,FrC3,,,,,
"Frontal cortex, area 3, layer6b",FrC3-6b,2351,2060,132,165,74,2017,FrC3,,,,,
Secondary motor cortex,M2,993,2100,112,255,116,500,M,Secondary motor area,MOs,,,
"Secondary motor cortex, layer 1",M2-1,656,2200,63,147,68,993,M2,"Secondary motor area, layer 1",MOs1,,,
"Secondary motor cortex, layer 2/3",M2-2/3,962,2300,83,152,86,993,M2,"Secondary motor area, layer 2/3",MOs2/3,,,
"Secondary motor cortex, layer 5",M2-5,767,2400,101,157,97,993,M2,"Secondary motor area, layer 5",MOs5,,,
"Secondary motor cortex, layer 6a",M2-6a,1021,2500,129,174,115,993,M2,"Secondary motor area, layer 6a",MOs6a,,,
"Secondary motor cortex, layer 6b",M2-6b,1085,2600,139,178,127,993,M2,"Secondary motor area, layer 6b",MOs6b,,,
Somatosensory cortex,S,453,2700,112,255,121,315,Isocortex,Somatosensory areas,SS,,,
Primary somatosensory cortex,S1,322,2800,112,255,121,453,S,Primary somatosensory area,SSp,,,
Primary somatosensory cortex layer 1,S1-1,793,2900,0,177,92,322,S1,"Primary somatosensory area, layer 1",SSp1,,,
Primary somatosensory cortex layer 2/3,S1-2/3,346,3000,67,185,112,322,S1,"Primary somatosensory area, layer 2/3",SSp2/3,,,
Primary somatosensory cortex layer 4,S1-4,865,3100,93,191,126,322,S1,"Primary somatosensory area, layer 4",SSp4,,,
